Date,Plot ,Sex,weight,Specifies,Note,No data, Note 3
7/16/2013,2,F,,DM,ihewexckjsdejhg,,
7/16/2013,7,M,3300000g,DM,,,
7/16/2013,3,M,,DM,,,
7/16/2013,1,M,,DM,,,
7/18/2013,3,M,40g,DM,,,
7/18/2013,7,M,48g,DM,,,
7/18/2013,4,F,29g,DM,,,
7/18/2013,4,F,46g,DM,,,
7/18/2013,7,M,36g,DM,,,
7/18/2013,7,F,35g,DM,,,
7/18/2013,8,F,22g,DM,,,
7/18/2013,7,F,42g,DM,,,
7/18/2013,4,F,41g,DM,,,
7/18/2013,6,F,37g,DM,,,
8/19/2013,8,F,52,DO,,,
10/17/2013,3,F,33,DO,,,
10/17/2013,3,F,50,DO,,,
10/17/2013,17,F,48,DO,,,
10/17/2013,17,F,31,DO,,,
10/18/2013,8,F,41,DO,,,
11/12/2013,1,F,44,DO,,,
11/12/2013,1,M,48,DO,,,
11/14/2013,8,F,39,DO,,,
12/10/2013,9,F,40,DO,,,
12/10/2013,1,M,45,DO,,,
12/11/2013,8,F,41,DO,,,
11/12/2013,9,F,117,DS,,,
11/12/2013,1,F,121,DS,,,
11/12/2013,20,M,115,DS,,,
11/12/2013,9,F,120,DS,,,
11/13/2013,17,F,118,DS,,,
11/13/2013,11,F,126,DS,,,
11/13/2013,17,M,132 (scale not calibrated),DS,,,
11/13/2013,14,F,113 (scale not callibtrated),DS,,,
11/13/2013,11,F,122,DS,,,
11/13/2013,4,F,107,DS,,,
11/13/2013,4,F,115,DS,,,
